"subject_id","image_path","response"
"107vmsmspq","images/D4.png","102"
"107vmsmspq","images/D16.png","25"
"107vmsmspq","images/D70.png","-200"
"107vmsmspq","images/D88.png","-200"
"107vmsmspq","images/D62.png","-108"
"107vmsmspq","images/D64.png","101"
"107vmsmspq","images/D102.png","103"
"107vmsmspq","images/D103.png","98"
"107vmsmspq","images/D87.png","101"
"107vmsmspq","images/D109.png","99"
"107vmsmspq","images/D112.png","107"
"107vmsmspq","images/D100.png","110"
"107vmsmspq","images/D67.png","-116"
"107vmsmspq","images/D108.png","-200"
"107vmsmspq","images/D59.png","-200"
"107vmsmspq","images/D63.png","103"
"107vmsmspq","images/D79.png","-200"
"107vmsmspq","images/D60.png","-200"
"107vmsmspq","images/D94.png","-200"
"107vmsmspq","images/D58.png","-200"
"107vmsmspq","images/D86.png","-200"
"107vmsmspq","images/D6.png","-200"
"107vmsmspq","images/D92.png","200"
"107vmsmspq","images/D90.png","-200"
"107vmsmspq","images/D107.png","-200"
"107vmsmspq","images/D80.png","-200"
"107vmsmspq","images/D97.png","101"
"107vmsmspq","images/D68.png","-106"
"107vmsmspq","images/D11.png","200"
"107vmsmspq","images/D82.png","200"
"107vmsmspq","images/D84.png","200"
"107vmsmspq","images/D30.png","-200"
"107vmsmspq","images/D51.png","-200"
"107vmsmspq","images/D78.png","-108"
"107vmsmspq","images/D77.png","200"
"107vmsmspq","images/D104.png","200"
"107vmsmspq","images/D65.png","200"
"107vmsmspq","images/D98.png","-200"
"107vmsmspq","images/D89.png","-111"
"107vmsmspq","images/D91.png","-200"
"107vmsmspq","images/D61.png","200"
"107vmsmspq","images/D54.png","-113"
"107vmsmspq","images/D13.png","102"
"107vmsmspq","images/D75.png","-200"
"107vmsmspq","images/D57.png","-200"
"107vmsmspq","images/D47.png","-108"
"107vmsmspq","images/D29.png","-200"
"107vmsmspq","images/D85.png","104"
"107vmsmspq","images/D38.png","104"
"107vmsmspq","images/D101.png","103"
"107vmsmspq","images/D17.png","200"
"107vmsmspq","images/D31.png","-200"
"107vmsmspq","images/D45.png","-200"
"107vmsmspq","images/D72.png","200"
"107vmsmspq","images/D1.png","-200"
"107vmsmspq","images/D40.png","-200"
"107vmsmspq","images/D9.png","-200"
"107vmsmspq","images/D50.png","-200"
"107vmsmspq","images/D3.png","-200"
"107vmsmspq","images/D95.png","-109"
"107vmsmspq","images/D28.png","111"
"107vmsmspq","images/D35.png","200"
"107vmsmspq","images/D93.png","200"
"107vmsmspq","images/D14.png","200"
"107vmsmspq","images/D83.png","200"
"107vmsmspq","images/D27.png","-200"
"107vmsmspq","images/D74.png","200"
"107vmsmspq","images/D33.png","200"
"107vmsmspq","images/D76.png","200"
"107vmsmspq","images/D34.png","-106"
"107vmsmspq","images/D111.png","200"
"107vmsmspq","images/D66.png","200"
"107vmsmspq","images/D105.png","-200"
"107vmsmspq","images/D49.png","106"
"107vmsmspq","images/D99.png","-200"
"107vmsmspq","images/D73.png","200"
"107vmsmspq","images/D42.png","-200"
"107vmsmspq","images/D55.png","-200"
"107vmsmspq","images/D81.png","200"
"107vmsmspq","images/D18.png","200"
"107vmsmspq","images/D41.png","-200"
"107vmsmspq","images/D20.png","-200"
"107vmsmspq","images/D37.png","200"
"107vmsmspq","images/D26.png","-200"
"107vmsmspq","images/D32.png","-200"
"107vmsmspq","images/D46.png","-200"
"107vmsmspq","images/D44.png","-200"
"107vmsmspq","images/D110.png","-200"
"107vmsmspq","images/D25.png","-200"
"107vmsmspq","images/D2.png","-200"
"107vmsmspq","images/D52.png","-200"
"107vmsmspq","images/D5.png","200"
"107vmsmspq","images/D43.png","-200"
"107vmsmspq","images/D24.png","-200"
"107vmsmspq","images/D71.png","-200"
"107vmsmspq","images/D19.png","107"
"107vmsmspq","images/D8.png","200"
"107vmsmspq","images/D53.png","-200"
"107vmsmspq","images/D15.png","-200"
"107vmsmspq","images/D106.png","200"
"107vmsmspq","images/D7.png","-200"
"107vmsmspq","images/D21.png","-200"
"107vmsmspq","images/D36.png","200"
"107vmsmspq","images/D22.png","200"
"107vmsmspq","images/D10.png","-200"
"107vmsmspq","images/D12.png","200"
"107vmsmspq","images/D39.png","-200"
"107vmsmspq","images/D48.png","-200"
"107vmsmspq","images/D56.png","-200"
"107vmsmspq","images/D96.png","-200"
"107vmsmspq","images/D23.png","-200"
"107vmsmspq","images/D69.png","-200"
"107vmsmspq","images/D66.png","200"
"107vmsmspq","images/D29.png","200"
"107vmsmspq","images/D23.png","200"
"107vmsmspq","images/D90.png","-200"
"107vmsmspq","images/D101.png","-200"
"107vmsmspq","images/D9.png","102"
"107vmsmspq","images/D59.png","-200"
"107vmsmspq","images/D32.png","-200"
"107vmsmspq","images/D13.png","-200"
"107vmsmspq","images/D57.png","-200"
"107vmsmspq","images/D68.png","103"
"107vmsmspq","images/D76.png","200"
"107vmsmspq","images/D3.png","-110"
"107vmsmspq","images/D87.png","200"
